HourDK,PriceArea,FuelAllocationMethod,CO2PerkWh
2024-01-11T23:00:00,DK1,125%,229.424337
2024-01-11T23:00:00,DK2,125%,112.379591
2024-01-11T22:00:00,DK1,125%,239.179463
2024-01-11T22:00:00,DK2,125%,88.042658
2024-01-11T21:00:00,DK1,125%,235.842943
2024-01-11T21:00:00,DK2,125%,192.432225
2024-01-11T20:00:00,DK1,125%,229.198906
2024-01-11T20:00:00,DK2,125%,218.423337
2024-01-11T19:00:00,DK1,125%,217.51631
2024-01-11T19:00:00,DK2,125%,187.778374
2024-01-11T18:00:00,DK1,125%,229.443047
2024-01-11T18:00:00,DK2,125%,187.313054
2024-01-11T17:00:00,DK1,125%,230.892675
2024-01-11T17:00:00,DK2,125%,238.136782
2024-01-11T16:00:00,DK1,125%,251.226131
2024-01-11T16:00:00,DK2,125%,184.333303
2024-01-11T15:00:00,DK1,125%,240.923935
2024-01-11T15:00:00,DK2,125%,111.27745
2024-01-11T14:00:00,DK1,125%,230.757291
2024-01-11T14:00:00,DK2,125%,92.426155
2024-01-11T13:00:00,DK1,125%,218.999105
2024-01-11T13:00:00,DK2,125%,77.490908
2024-01-11T12:00:00,DK1,125%,215.191796
2024-01-11T12:00:00,DK2,125%,70.98926
2024-01-11T11:00:00,DK1,125%,240.018246
2024-01-11T11:00:00,DK2,125%,64.376861
2024-01-11T10:00:00,DK1,125%,243.9909
2024-01-11T10:00:00,DK2,125%,134.229124
2024-01-11T09:00:00,DK1,125%,211.035089
2024-01-11T09:00:00,DK2,125%,140.995551
2024-01-11T08:00:00,DK1,125%,182.112613
2024-01-11T08:00:00,DK2,125%,136.027203
2024-01-11T07:00:00,DK1,125%,187.551209
2024-01-11T07:00:00,DK2,125%,153.980529
2024-01-11T06:00:00,DK1,125%,193.786953
2024-01-11T06:00:00,DK2,125%,72.021559
2024-01-11T05:00:00,DK1,125%,184.910462
2024-01-11T05:00:00,DK2,125%,62.128599
2024-01-11T04:00:00,DK1,125%,182.032076
2024-01-11T04:00:00,DK2,125%,50.663636
2024-01-11T03:00:00,DK1,125%,131.621433
2024-01-11T03:00:00,DK2,125%,51.360432
2024-01-11T02:00:00,DK1,125%,140.751961
2024-01-11T02:00:00,DK2,125%,54.764945
2024-01-11T01:00:00,DK1,125%,137.175654
2024-01-11T01:00:00,DK2,125%,61.484084
2024-01-11T00:00:00,DK1,125%,177.277971
2024-01-11T00:00:00,DK2,125%,78.748475
2024-01-10T23:00:00,DK1,125%,195.853219
2024-01-10T23:00:00,DK2,125%,88.290761
2024-01-10T22:00:00,DK1,125%,206.177714
2024-01-10T22:00:00,DK2,125%,106.530762
2024-01-10T21:00:00,DK1,125%,210.229147
2024-01-10T21:00:00,DK2,125%,127.545448
2024-01-10T20:00:00,DK1,125%,219.353328
